date,KPC4,KPB8,dayofweek,quarter,dayofyear,dayofmonth,weekofyear,KPC4_lag_1,KPB8_lag_1,KPC4_lag_3,KPB8_lag_3,KPC4_lag_6,KPB8_lag_6,KPC4_lag_12,KPB8_lag_12,KPC4_window_3_mean,KPC4_window_3_std,KPB8_window_3_mean,KPB8_window_3_std,KPC4_window_6_mean,KPC4_window_6_std,KPB8_window_6_mean,KPB8_window_6_std
2010-05-01,27.0,40.6,5,2,121,1,17,26.5,44.6,25.7,42.4,26.6,32.8,22.5,33.3,25.899999999999995,0.5291502622128695,42.56666666666667,1.9553345834748415,25.8,0.6985699678628797,38.416666666666664,4.885249908312436
2010-06-01,26.8,40.3,1,2,152,1,22,27.0,40.6,25.5,40.7,25.8,33.4,22.8,32.1,26.333333333333332,0.7637626158259376,41.96666666666667,2.2810816147899575,25.86666666666667,0.801664934163027,39.71666666666667,4.059761897780051
2010-07-01,28.3,39.5,3,3,182,1,26,26.8,40.3,26.5,44.6,24.7,36.6,24.2,34.0,26.766666666666666,0.25166114784224386,41.833333333333336,2.4006943440039956,26.03333333333333,0.884684501201761,40.86666666666667,2.6424735886412734
2010-08-01,29.9,41.0,6,3,213,1,30,28.3,39.5,27.0,40.6,25.7,42.4,24.2,33.7,27.366666666666664,0.8144527815246687,40.13333333333333,0.5686240703073101,26.633333333333336,1.0112698288125677,41.35,1.853375299285073
2010-09-01,29.7,40.7,2,3,244,1,35,29.9,41.0,26.8,40.3,25.5,40.7,24.1,33.3,28.333333333333332,1.5502687938977742,40.26666666666666,0.7505553499461893,27.333333333333332,1.5474710551950843,41.11666666666667,1.7814787864767567
2010-10-01,30.9,41.2,4,4,274,1,39,29.7,40.7,28.3,39.5,26.5,44.6,25.8,34.3,29.3,0.8717797887080903,40.4,0.793725393319068,28.03333333333333,1.501554749806539,41.11666666666667,1.7814787864767567
2010-11-01,31.3,40.7,0,4,305,1,44,30.9,41.2,29.9,41.0,27.0,40.6,26.6,32.8,30.166666666666668,0.6429100507328016,40.96666666666667,0.25166114784133636,28.766666666666666,1.6681326885672394,40.550000000000004,0.6024948132557005
2010-12-01,31.5,40.6,2,4,335,1,48,31.3,40.7,29.7,40.7,26.8,40.3,25.8,33.4,30.633333333333336,0.832666399786403,40.86666666666667,0.288675134593929,29.48333333333333,1.6809719410705688,40.56666666666666,0.6055300708195163
2011-01-01,32.4,44.2,5,1,1,1,52,31.5,40.6,30.9,41.2,28.3,39.5,24.7,36.6,31.23333333333333,0.30550504633024145,40.833333333333336,0.32145502536563897,30.26666666666667,1.2094075684675287,40.61666666666667,0.5913261931173761
2011-02-01,31.1,40.4,1,1,32,1,5,32.4,44.2,31.3,40.7,29.9,41.0,25.7,42.4,31.733333333333334,0.5859465277081476,41.833333333333336,2.0502032419574414,30.95,1.019313494465691,41.4,1.389964028311531
2011-03-01,31.1,40.7,1,1,60,1,9,31.1,40.4,31.5,40.6,29.7,40.7,25.5,40.7,31.666666666666668,0.6658328118478657,41.73333333333333,2.1385353243126035,31.149999999999995,0.8803408430828668,41.300000000000004,1.4449913494550823
2011-04-01,31.1,44.1,4,2,91,1,13,31.1,40.7,32.4,44.2,30.9,41.2,26.5,44.6,31.53333333333333,0.7505553499464491,41.76666666666667,2.112660250331986,31.383333333333336,0.5382068994973155,41.300000000000004,1.4449913494550823
2011-05-01,31.6,39.6,6,2,121,1,17,31.1,44.1,31.1,40.4,31.3,40.7,27.0,40.6,31.100000000000005,0.0,41.73333333333333,2.0550750189063174,31.416666666666668,0.5076087732363499,41.78333333333334,1.8367543838702771
2011-06-01,32.6,43.0,2,2,152,1,22,31.6,39.6,31.1,40.7,31.5,40.6,26.8,40.3,31.26666666666667,0.2886751345946563,41.46666666666667,2.345918441321608,31.466666666666665,0.5085928299401312,41.6,2.0129580224137857
2011-07-01,33.4,41.8,4,3,182,1,26,32.6,43.0,31.1,44.1,32.4,44.2,28.3,39.5,31.76666666666667,0.7637626158259094,42.23333333333333,2.3459184413216048,31.650000000000006,0.6892024376043957,42.0,2.012958022413784
2011-08-01,33.8,41.8,0,3,213,1,31,33.4,41.8,31.6,39.6,31.1,40.4,29.9,41.0,32.53333333333334,0.9018499505645173,41.46666666666667,1.7243356208501877,31.816666666666666,0.9703951085338914,41.6,1.7029386365926447
2011-09-01,34.8,43.3,3,3,244,1,35,33.8,41.8,32.6,43.0,31.1,40.7,29.7,40.7,33.266666666666666,0.6110100926606784,42.199999999999996,0.6928203230271571,32.26666666666667,1.1758684733704243,41.833333333333336,1.5983324643723773
2011-10-01,34.6,44.1,5,4,274,1,39,34.8,43.3,33.4,41.8,31.1,44.1,30.9,41.2,33.99999999999999,0.7211102550927023,42.29999999999999,0.8660254037841225,32.88333333333333,1.39200095785401,42.26666666666667,1.5819818793736764
2011-11-01,36.2,46.0,1,4,305,1,44,34.6,44.1,33.8,41.8,31.6,39.6,31.3,40.7,34.4,0.5291502622127792,43.06666666666666,1.1676186592088906,33.46666666666667,1.2176480060618802,42.266666666666666,1.5819818793736764
2011-12-01,36.0,44.3,3,4,335,1,48,36.2,46.0,34.8,43.3,32.6,43.0,31.5,40.6,35.199999999999996,0.8717797887080408,44.46666666666666,1.3868429375140932,34.233333333333334,1.2548572295948495,43.333333333333336,1.5819818793736735
2012-01-01,36.3,44.4,6,1,1,1,52,36.0,44.3,34.6,44.1,33.4,41.8,32.4,44.2,35.6,0.8717797887080311,44.79999999999999,1.0440306508907549,34.800000000000004,1.13137084989838,43.550000000000004,1.6158589047314713
2012-02-01,37.3,50.9,2,1,32,1,5,36.3,44.4,36.2,46.0,33.8,41.8,31.1,40.4,36.166666666666664,0.15275252316452326,44.9,0.9539392014166179,35.28333333333333,1.0284292229737713,43.98333333333333,1.3847984209503743
2012-03-01,37.1,47.8,3,1,61,1,9,37.3,50.9,36.0,44.3,34.8,43.3,31.1,40.7,36.53333333333333,0.6806859285552415,46.53333333333333,3.7819747927944567,35.86666666666667,1.011269828812477,45.5,2.787830697872447
2012-04-01,37.8,50.6,6,2,92,1,13,37.1,47.8,36.3,44.4,34.6,44.1,31.1,44.1,36.9,0.5291502622126959,47.69999999999999,3.2511536414016664,36.25,0.9607288899579005,46.25,2.680858071588269
2012-05-01,39.2,51.8,1,2,122,1,18,37.8,50.6,37.3,50.9,36.2,46.0,31.6,39.6,37.4,0.3605551275460427,49.76666666666666,1.7097758137640784,36.78333333333333,0.719490560512358,47.333333333333336,2.9391608779831433
